序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
1,01-新媒体运营-安徽研小航教育科技有限公司.md,直接相关,15,新媒体运营,安徽研小航教育科技有限公司,6k-11k,本科及以上,招聘 人数不限,新媒体运营 新闻传播 市场营销 广告,安徽省合肥市瑶海区,06-23 09:17,教育/培训/院校,民营企业,50-99人,,2,f68a9a22e5c1,https://www.ncss.cn/student/jobs/8WxFznoS6umi7H7jN1FcSp/detail.html
2,02-新媒体运营编辑文案编导-望子成龙教育科技有限公司.md,直接相关,8,新媒体运营/编辑/文案/编导,望子成龙教育科技有限公司,6k-8k,本科及以上,招聘 50人,专业不限,四川省成都市,07-27 09:51,教育/培训/院校,民营企业,1000-4999人,,2,abc885c013c8,https://www.ncss.cn/student/jobs/GMiShdjXuxnX1tajTmcp8L/detail.html
3,03-外贸业务员-外贸业务助理-翻译-外贸主管-外贸专员-跨境电商-深圳市高通电子有限公司.md,直接相关,7,外贸业务员-外贸业务助理-翻译-外贸主管-外贸专员-跨境电商运营专员助理-国际贸易员-英语-电子商务,深圳市高通电子有限公司,8k-30k,本科及以上,招聘 2人,英语 商务英语 翻译 英语语言文学 教育英语 科技英语 德语 西班牙语 葡萄牙语 俄语 法语 市场营销 电子商务 经济学 企业管理学 会计学,广东省深圳市宝安区,08-04 08:29,电子技术/半导体/集成电路,民营企业,100-499人,,2,647004b68a78,https://www.ncss.cn/student/jobs/QqRuAYNhrsFyjQQ9CDaUyV/detail.html
4,04-homebar市场营销-乐伴（江西）数字科技有限公司.md,直接相关,7,homebar市场营销,乐伴（江西）数字科技有限公司,5k-30k,不限,招聘 5人,专业不限,江西省南昌市,06-08 15:36,娱乐/体育/休闲,民营企业,1-49人,,2,c518fc71e9a2,https://www.ncss.cn/student/jobs/SusCLhHFF2nRTccWzubzF3/detail.html
5,05-浙江省市场专员-广东省珠海广弘医药进出口有限公司.md,直接相关,6,浙江省市场专员,广东省珠海广弘医药进出口有限公司,6k-12k,本科及以上,招聘 1人,医学、药学相关专业,浙江省杭州市市辖区,07-28 11:08,批发/零售,国有企业,100-499人,,2,79f59b78243c,https://www.ncss.cn/student/jobs/UNCdH5Sww6tvYb4mdmSamJ/detail.html
6,06-市场推广-云南华盛图书有限公司.md,直接相关,4,市场推广,云南华盛图书有限公司,4k-7k,本科及以上,招聘 4人,专业不限,云南省昆明市,07-23 14:20,批发/零售,民营企业,1-49人,,2,068b1e0127a4,https://www.ncss.cn/student/jobs/59hUNuu7qNrLfT3JpM82wb/detail.html
7,07-品牌推广专员（广州院校方向）-广州通益信息技术有限公司.md,直接相关,3,品牌推广专员（广州院校方向）,广州通益信息技术有限公司,4.5k-6k,专科及以上,招聘 5人,专业不限,广东省广州市天河区,07-30 10:06,计算机软件,民营企业,50-99人,,2,2e5dbf14958d,https://www.ncss.cn/student/jobs/2gDTEJf3JSXZE9cKDtkr39/detail.html
8,08-内容营销实习生-上海贝瑞飞科技有限公司.md,直接相关,23,内容营销实习生,上海贝瑞飞科技有限公司,3k-9k,本科及以上,招聘 2人,专业不限,上海市浦东新区,07-30 11:15,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,95a71b4b8887,https://www.ncss.cn/student/jobs/NCUKnXBnxHeEiRac7KJt1f/detail.html
9,09-新媒体运营及视频剪辑岗-北京科海国际会展服务有限公司.md,直接相关,18,新媒体运营及视频剪辑岗,北京科海国际会展服务有限公司,4k-7k,专科及以上,招聘 5人,新媒体运营 市场营销 新闻传播 中文,北京市朝阳区,07-29 17:38,广告/公关/会展,民营企业,1-49人,,1,c04ca2fed706,https://www.ncss.cn/student/jobs/MyX3xUPsFfbh9eXQpP7XQZ/detail.html
10,10-新媒体运营专员-济南兰普电气有限公司.md,直接相关,18,新媒体运营专员,济南兰普电气有限公司,3k-12k,专科及以上,招聘 2人,媒体传播相关专业,山东省济南市天桥区,07-30 15:56,电气/电力/水利,民营企业,1-49人,,1,c1a403c8db75,https://www.ncss.cn/student/jobs/NWUyzXyAVM7nabpL9y6EnT/detail.html
11,11-短视频获客运营专员（央国企就业培训方向）-北京京成职达文化科技有限公司.md,直接相关,17,短视频获客运营专员（央国企就业培训方向）,北京京成职达文化科技有限公司,8k-15k,不限,招聘 3人,专业不限,北京市朝阳区,07-13 16:13,教育/培训/院校,民营企业,50-99人,,1,341b9f79277e,https://www.ncss.cn/student/jobs/JxiBHew9p41tnaSUoRb82i/detail.html
12,12-媒体运营（管培生）-陕西圆梦工场科技有限公司.md,直接相关,17,媒体运营（管培生）,陕西圆梦工场科技有限公司,6k-8k,本科及以上,招聘 3人,网络与新媒体 传播学 / 新闻学 广告学 广播电视编导,全国,07-20 15:51,计算机软件,民营企业,100-499人,,1,7a0b2f082f1e,https://www.ncss.cn/student/jobs/H5J7ouVzuxGyrzBd29de7B/detail.html
13,13-新媒体运营专员-中环测联（北京）科技有限公司.md,直接相关,17,新媒体运营专员,中环测联（北京）科技有限公司,5k-7k,本科及以上,招聘 1人,专业不限,北京市朝阳区,07-31 10:48,环保,民营企业,1-49人,,1,edc1cbda262d,https://www.ncss.cn/student/jobs/YRDBUakpXFN22dM2utbMmB/detail.html
14,14-新媒体运营-湖北阳光文化教育咨询有限公司.md,直接相关,16,新媒体运营,湖北阳光文化教育咨询有限公司,7k-9k,本科及以上,招聘 2人,教育类 新媒体相关,湖北省武汉市洪山区,07-30 11:07,教育/培训/院校,民营企业,50-99人,,1,4c8dc34fb891,https://www.ncss.cn/student/jobs/LG9JCfcvAR4FT2mYVpwJQP/detail.html
15,15-新媒体运营岗-上海汇盟信息科技有限公司.md,直接相关,16,新媒体运营岗,上海汇盟信息科技有限公司,8k-10k,专科及以上,招聘 5人,不限,上海市徐汇区,07-16 09:39,互联网/电子商务,民营企业,100-499人,,1,58b2079fee7a,https://www.ncss.cn/student/jobs/95UYANmxJvvKMvJh3zxuP/detail.html
16,16-管培生（平面设计文案策划视频剪辑电子商务方向）-泰昊乐生物科技有限公司.md,直接相关,16,管培生（平面设计/文案策划/视频剪辑/电子商务方向）,泰昊乐生物科技有限公司,2.5k-3k,专科及以上,招聘 5人,2026届专科及以上学历，专业不限。优先考虑以下相关专业： 设计方向：视觉传达、数字媒体艺术、平面设计等 文案方向：新闻学、广告学、汉语言文学、传播学等 视频方向：广播电视编导、影视摄影与制作、数字媒体等 电商方向：电子商务、市场营销、数据分析等,广东省广州市天河区,06-18 11:12,快速消费品（食品/饮料/日化/烟酒）,民营企业,1-49人,,1,8859f7b3d898,https://www.ncss.cn/student/jobs/UY6SjLmcJVaWUNPiFmhvSc/detail.html
17,17-新媒体运营（含短剧、短视频、广告、账号运营等）（储备）-中喜企业管理（四川）有限公司.md,直接相关,15,新媒体运营（含短剧、短视频、广告、账号运营等）（储备）,中喜企业管理（四川）有限公司,3k-12k,本科及以上,招聘 2人,中文、新闻、广告、编导、新媒体、传播学、摄影、摄像、影视后期、剪辑、动画、视觉传达、市场营销等相关专业优先,四川省成都市,07-29 19:29,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,810baea33be5,https://www.ncss.cn/student/jobs/VSRawTWjqxUDqdG67kLtkV/detail.html
18,18-新媒体运营-成都聚海纳川科技有限公司.md,直接相关,15,新媒体运营,成都聚海纳川科技有限公司,5k-9k,专科及以上,招聘 10人,专业不限,安徽省合肥市市辖区,08-04 11:33,市场推广/运营,民营企业,50-99人,,1,8772ff4ff2ae,https://www.ncss.cn/student/jobs/QbRkBqD9ftN3SaQuhXBhf/detail.html
